o,p,s
http://www.phenome-fppn.fr/diaphen/2018/o18000006,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000006,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/maize
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/dkc4590
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,7/DKC4590/XXXX/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000007,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg007
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,8/DZ_PG_02/ZM4356/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000008,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.phenome-fppn.fr/vocabulary/2017#Plot
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.phenome-fppn.fr/vocabulary/2017#fromSpecies,http://www.phenome-fppn.fr/id/species/zeamays
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.phenome-fppn.fr/vocabulary/2017#fromVariety,http://www.phenome-fppn.fr/phismelody/v/ipg109
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.phenome-fppn.fr/vocabulary/2017#hasAlias,9/DZ_PG_16/ZM4359/WW/1/DIA2017-05-19
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.phenome-fppn.fr/vocabulary/2017#hasExperimentModalities,WW
http://www.phenome-fppn.fr/diaphen/2018/o18000009,http://www.phenome-fppn.fr/vocabulary/2017#hasRepetition,1
